organization,linkedin,position,startDate,endDate,status,person_id
Unicor Rohrsysteme GmbH (später umfimiert in Uponor),,Vertriebsleiter Division I - Structured Wall Pipe Systems - Europe,1999-01,2001-12,INACTIVE,291
Unicor Rohrsysteme GmbH,,Abteilungsleiter Vertrieb Bau-/Energietechnik,1998-01,1998-12,INACTIVE,291
Unicor Rohrsysteme GmbH,,Gruppenleiter Vertrieb Bau-/Energietechnik,1997-01,1997-12,INACTIVE,291
Unicor Rohrsysteme GmbH,,Aussendienstmitarbeiter Vertrieb Bau-/Energietechnik,1995-11,1996-12,INACTIVE,291
Schilling Bank Gruppe,,Immobilienmakler,1995-01,1995-10,INACTIVE,291
Raiffeisen-Volksbank eG,,Versicherungsfachmann,1991-01,1994-12,INACTIVE,291
König Metallbearbeitung,,Kaufmännischer Mitarbeiter,1987-09,1990-12,INACTIVE,291
Deutsches Zentrum für Luft-und Raumfahrt e.V.,https://www.linkedin.com/company/dlr,Strategischer Einkäufer,2023-02,,ACTIVE,292
"Basell Polyolefine GmbH über Jobsolutions GmbH, Köln",,Contract Buyer im technischen Einkauf,2022-04,2023-02,INACTIVE,292
GKN Driveline International GmbH über Robert Half Deutschland GmbH & Co.KG,https://www.linkedin.com/company/gkn-driveline-international-gmbh,Indirekter Einkauf,2021-06,2022-03,INACTIVE,292
"Basell Polyolefine GmbH über Jobsolutions GmbH, Köln",https://www.linkedin.com/company/lyondell-basell,Contract Buyer im Rohmaterialeinkauf,2020-02,2021-05,INACTIVE,292
Leybold GmbH,,Operational SYSTEMS Buyer,2018-08,2020-01,INACTIVE,292
Leybold GmbH über Robert Half Deutschland GmbH & Co.KG - Zeitarbeit,,Operational SYSTEMS Buyer,2016-08,2018-07,INACTIVE,292
Quarzwerke GmbH - über ZAQUENSIS GmbH - Zeitarbeit,,technischer Projekteinkauf,2016-04,2016-07,INACTIVE,292
Universitätsklinikum Bonn - über Amadeus FiRE AG - Zeitarbeit,,stellvertretender und Projektleiter Baueinkauf,2015-09,2016-01,INACTIVE,292
Dücker Group GmbH,,technischer Einkäufer (Senior Buyer) - Maschinenbau,2014-08,2015-07,INACTIVE,292
Josef Lubig GmbH,,"Facheinkäufer Metalle, Oberflächenbehandung (Senior Buyer)",2011-08,2013-12,INACTIVE,292
Alfred H. Schütte GmbH & Co. KG,https://www.linkedin.com/company/alfred-h-schuette-gmbh,technischer Einkäufer,2010-10,2011-06,INACTIVE,292
KMA Umwelttechnik GmbH,https://www.linkedin.com/company/kma-umwelttechnik-gmbh,technischer Einkäufer,2002-11,2010-04,INACTIVE,292
CeramOptec GmbH,https://www.linkedin.com/company/ceramoptec-gmbh,Kaufmännischer Assistent des Leiters der Laserproduktion,2001-01,2002-09,INACTIVE,292
Thales-Heim Systems GmbH hervorgegangen aus der Racal-Heim Systems GmbH,,Stellvertreter und Assistent des Fertigungsleiters Elektronik und Mechanik,1998-10,2001-12,INACTIVE,292
European Transonic Windtunnel GmbH,,"Kaufmännischer Angestellter, verantwortlich für den allgemeinen Einkauf",1991-01,1998-09,INACTIVE,292
Advanced and Flexible Computer hard and software GmbH,,"kaufmännisch und technischer Angestellter, Einkauf und Fertigung",1982-08,1990-12,INACTIVE,292
Atlas Copco,https://www.linkedin.com/company/atlas-copco,VP Market Intelligence - Business Development - Sales,2020-01,,ACTIVE,293
Atlas Copco,https://www.linkedin.com/company/atlas-copco,VP Business Development,2001-01,2020-01,INACTIVE,293
Outotec,https://www.linkedin.com/company/outotec,Director / Project implementation Manager,2011-01,,ACTIVE,294
Swiss-Canna Group AG,https://www.linkedin.com/company/swiss-canna-group-ag,Aktionär,2024-06,,ACTIVE,295
Chemie AG Bern,,Beratungsexperte Verwaltungsrat,2024-03,,ACTIVE,295
"RAMA Holding AG www.arseptum.ch Desinfektion mit Langzeit, Hygiene der Zukunft",,Produzent und Lizensen,2019-11,,ACTIVE,295
Arsept-Suisse GmbH,,Geschäftsinhaber,2022-07,,ACTIVE,295
Rennstall Belar Grande / Gestüt Seebach Elsass,,Institution Sport,2006-03,,ACTIVE,295
Arnold Feuerwerke,,Geschäftsinhaber Import Export,1986-05,,ACTIVE,295
Selbstständig,,CEO,2014-03,2025-02,INACTIVE,295
Chemie AG,,Geschäftsführender Gesellschafter,1987-09,2024-03,INACTIVE,295
BMW Group,https://www.linkedin.com/company/bmw-group,Werkstudent Facheinkauf Interieur,2025-03,,ACTIVE,296
BMW Group,https://www.linkedin.com/company/bmw-group,"Praktikant im Bereich Controlling, Risikomanagement und Digitalisierung im Vertrieb",2024-03,2024-09,INACTIVE,296
TUM Department of Chemistry,https://www.linkedin.com/company/tum-department-of-chemistry,Lehrassistent Physikalische Chemie,2022-04,2023-03,INACTIVE,296
Stryber,https://www.linkedin.com/company/stryber-ag,Projektstudent Stryber,2022-11,2023-01,INACTIVE,296
Freisinger Bank eG,https://www.linkedin.com/company/freisingerbank,Bankkaufmann,2018-02,2018-06,INACTIVE,296
GKN Driveline,https://www.linkedin.com/company/gkn-automotive,Account Director,1999-04,,ACTIVE,297
Sigtuna folkhögskola,https://www.linkedin.com/company/sigtunafolkhogskola,Head teacher in art,2021-08,,ACTIVE,298
Dovo,,Founder,2005-01,,ACTIVE,298
Umeå University,,Student,2015-09,2021-08,INACTIVE,298
Stene Projects,,Puzzles,2014-04,2016-05,INACTIVE,298
dovo AB,,Executive director,2012-01,2016-01,INACTIVE,298
Svenska Konstnärernas förening,,Deputy of Board,2013-05,2014-05,INACTIVE,298
Nyckelviksskolan,,Teacher in art,2012-09,2013-05,INACTIVE,298
"Head teacher of art, Örebro art school",,Teacher in art,1999-09,2000-09,INACTIVE,298
Beckmans School of Design,,Teacher in art,1998-09,1999-05,INACTIVE,298
Verlag Reinhard Wagner,,Chef,1993-03,,ACTIVE,299
Frank Elektronik GmbH Nürnberg,,Produktmanager Far East,1991-02,1993-03,INACTIVE,299
WISAG Passage Service Düsseldorf GmbH & Co. KG,,Geschäftsführer,2025-03,,ACTIVE,300
ASG Airport Service Gesellschaft mbH,,Geschäftsführer,2023-11,,ACTIVE,300
WISAG Ground Service GmbH & Co. KG Ndl. Düsseldorf,,Geschäftsführer,2023-01,,ACTIVE,300
WISAG Losch Passage Service Köln GmbH & Co. KG,,Geschäftsführer,2017-01,,ACTIVE,300
Losch Airport Service GmbH,https://www.linkedin.com/company/losch-airport-service-gmbh,Prokurist bei Losch Airport Service GmbH,2020-01,2023-04,INACTIVE,300
Losch Airport Service GmbH,https://www.linkedin.com/company/losch-airport-service-gmbh,Stationsleiter Losch Airport Service Stuttgart GmbH,2001-07,2019-12,INACTIVE,300
Losch Airport Service Stuttgart GmbH,,Geschäftsführer Losch Airport Service Stuttgart GmbH,2020-01,2023-04,INACTIVE,300
Losch Airport Service Allgäu GmbH,,Geschäftsführer Losch Airport Service Allgäu GmbH,2012-02,2023-04,INACTIVE,300
Losch Airport Service Allgäu GmbH,,Stationsleiter Losch Airport Service Allgäu GmbH,2007-06,2012-01,INACTIVE,300
BOTTERO GmbH,https://www.linkedin.com/company/bottero-gmbh,General Manager,2025-01,,ACTIVE,301
MOTUL,https://www.linkedin.com/company/motul,Managing Director | CEO,2017-10,2025-01,INACTIVE,301
PETRONAS Lubricants International,https://www.linkedin.com/company/petronas-lubricants-international,"Managing Director Germany & Austria | Head of Cluster Germany, Austria, Benelux, and Russia",2014-03,2017-09,INACTIVE,301
PETRONAS Lubricants International,https://www.linkedin.com/company/petronas-lubricants-international,Head of German OEMs and Global Strategic Alliance,2012-11,2014-02,INACTIVE,301
LUKOIL,https://www.linkedin.com/company/lukoil,Deputy General Director for International Business Development,2012-01,2012-10,INACTIVE,301
Daimler,https://www.linkedin.com/company/mercedes-benz_ag,Sales Director Mercedes-Benz Lubricants,2005-07,2011-12,INACTIVE,301
BP,https://www.linkedin.com/company/bp,Key Account Manager Automotive Lubes,2000-09,2005-06,INACTIVE,301
BP,https://www.linkedin.com/company/bp,"District and Regional Manager Automotive Lubes at Deutsche Veedol, Burmah Oil",1999-01,2000-08,INACTIVE,301
Woodhouse,https://www.linkedin.com/company/woodhouse-spa,Spa Concierge,2024-11,,ACTIVE,302
In-Situ,https://www.linkedin.com/company/in-situ,Inside Sales,2013-06,2024-05,INACTIVE,302
Danaher Corporation,https://www.linkedin.com/company/danaher,Customer Service Supervisor,2002,2013,INACTIVE,302
Macroconsult,https://www.linkedin.com/company/macroconsult,Data Engineer,2022-09,2022-11,INACTIVE,303
TDK,https://www.linkedin.com/company/tdk,Vice President Technology Film,2010-04,2018-12,INACTIVE,304
neusta marketing GmbH,https://www.linkedin.com/company/neusta-marketing,Geschäftsführender Gesellschafter,2021-01,,ACTIVE,305
neusta marketing GmbH,https://www.linkedin.com/company/neusta-marketing,Director Customer Insights & Data Analytics,2015-05,2020-12,INACTIVE,305
krannich.de,,Unternehmer,1998-07,,ACTIVE,305
Universität Bremen,,Senior Researcher,2005-05,2015-04,INACTIVE,305
Nestler Wellpappe GmbH,https://www.linkedin.com/company/nestler-wellpappe-gmbh,Account-Manager,2020-04,,ACTIVE,306
RLC Packaging Group,,Senior Key Account Manager,2010-04,2020-04,INACTIVE,306
Ericsson,https://www.linkedin.com/company/ericsson,Head of Digital Radio Design,2023-10,,ACTIVE,307
Ericsson,https://www.linkedin.com/company/ericsson,Radio ASIC System Designer,2023-01,2023-09,INACTIVE,307
Ericsson,https://www.linkedin.com/company/ericsson,Antenna System Engineer,2019-10,2022-12,INACTIVE,307
Ericsson,https://www.linkedin.com/company/ericsson,Project Manager,2020-03,2022-06,INACTIVE,307
KATHREIN Group,,DSP Software and System Developer - Active Antenna Systems,2017-04,2019-09,INACTIVE,307
KATHREIN Group,,System Engineer - Communication Solutions,2016-07,2017-03,INACTIVE,307
KATHREIN Group,,Advisor to Director R&D Electronics,2015-06,2016-06,INACTIVE,307
KATHREIN Group,,FPGA and Software Developer - Remote Radio Heads,2011-01,2015-05,INACTIVE,307
Amaris Zorggroep,https://www.linkedin.com/company/amaris-zorggroep,Assistent,2022-07,,ACTIVE,308
Weesper Autowas,https://www.linkedin.com/company/weesper-autowas,Verkoper,2020-04,2020-07,INACTIVE,308
Polizei Oberes Fricktal,https://www.linkedin.com/company/polizei-oberes-fricktal,Polizistin,2020,,ACTIVE,309
Polizei Kanton Solothurn,,Polizistin,2017,2020,INACTIVE,309
FINVIA,https://www.linkedin.com/company/finvia,Managing Partner,2023-06,,ACTIVE,310
FINVIA,https://www.linkedin.com/company/finvia,Geschäftsführer,2020-04,,ACTIVE,310
Bethmann Bank AG,https://www.linkedin.com/company/bethmann-bank,"Leitender Direktor, Niederlassungsleiter",2010-04,2020-03,INACTIVE,310
Dotdigital,https://www.linkedin.com/company/dotdigital,Global Product Marketing Manager,2022-01,,ACTIVE,311
Utility Warehouse,https://www.linkedin.com/company/utilitywarehouse,Product Marketing Executive,2018-09,2022-01,INACTIVE,311
The I.S. Group Ltd,https://www.linkedin.com/company/the-is-group-ltd,Marketing Executive,2016-08,2018-09,INACTIVE,311
Centaur Media Plc,https://www.linkedin.com/company/centaur-media-plc,Sales & Marketing Executive,2014-07,2016-08,INACTIVE,311
Marriott International,https://www.linkedin.com/company/marriott-international,Front Office Associate,2012-09,2014-03,INACTIVE,311
MARAG Garagen AG,,Leiter Kundendienst,,,UNKNOWN,312
Orientierung: M,,Rentner,,,UNKNOWN,313
orfix International GmbH,https://www.linkedin.com/company/orfix-international-gmbh,Geschäftsführer,,,UNKNOWN,314
Spherea GmbH,https://www.linkedin.com/company/spherea-gmbh,Produktingenieur,2023-03,,ACTIVE,315
Revalize,https://www.linkedin.com/company/revalize,Projektleiter,2021-12,2023-02,INACTIVE,315
keytech Süd GmbH,,Projektmanager,2012-07,2023-02,INACTIVE,315
Solidpro GmbH,https://www.linkedin.com/company/bechtleam,Leiter Softwareentwicklung,1998-01,2012-06,INACTIVE,315
ASCAD GmbH Süd,,Support-Ingenieur,1994-07,1997-12,INACTIVE,315
HP,https://www.linkedin.com/company/hp,Product Marketing Engineer,1993-10,1994-06,INACTIVE,315
ABB CADE GmbH,,Software-Entwickler,1989-10,1993-09,INACTIVE,315
BIGA Energie GmbH & Co. KG,,Geschäftsleiter,,,UNKNOWN,316
Matica Technologies AG,https://www.linkedin.com/company/matica-technologies,Marketing,,,UNKNOWN,317
Fisher Funds,https://www.linkedin.com/company/fisher-funds,Investment Operations Manager,2022-10,2025-05,INACTIVE,318
Public Trust,https://www.linkedin.com/company/public-trust,Assurance Analyst Lead,2022-04,2022-10,INACTIVE,318
Mercer,https://www.linkedin.com/company/mercer,Senior Fund Accountant,2021-05,2022-04,INACTIVE,318
Trustees Executors Limited,https://www.linkedin.com/company/trustees-executors-limited,Fund Accountant,2019-01,2021-05,INACTIVE,318
Liberty Group South Africa,https://www.linkedin.com/company/liberty-group,Trustee,2017-09,2019-01,INACTIVE,318
Liberty Group South Africa,https://www.linkedin.com/company/liberty-group,Head of Operations,2017-06,2019-01,INACTIVE,318
Liberty Group South Africa,https://www.linkedin.com/company/liberty-group,Head of Fund Accounting,2011-09,2019-01,INACTIVE,318
Sanlam,https://www.linkedin.com/company/sanlam,Senior Operations Manager: Client Services,2009-10,2011-07,INACTIVE,318
Sanlam,https://www.linkedin.com/company/sanlam,Fund Accounting Manager,2007-03,2009-09,INACTIVE,318
EY,https://www.linkedin.com/company/ernstandyoung,Audit Manager,2006-01,2007-02,INACTIVE,318
EY,https://www.linkedin.com/company/ernstandyoung,Senior Associate,2005-01,2005-12,INACTIVE,318
Coris Capital (Pty) Ltd,https://www.linkedin.com/company/coris-capital-pty-ltd,Senior Fund Accountant,2003-04,2004-12,INACTIVE,318
Sylvamo,https://www.linkedin.com/company/sylvamoco,"regional manager DACH, strategic account manager",2021-08,2024-06,INACTIVE,319
International Paper,https://www.linkedin.com/company/international-paper,Pan-European Account manager,2010-01,2022-09,INACTIVE,319
Internatiónal Paper,,HP Business Manager Europe,1998-11,2011-11,INACTIVE,319
International Paper,https://www.linkedin.com/company/international-paper,HP business manager,1998,2008,INACTIVE,319
Avery Dennison,https://www.linkedin.com/company/avery-dennison,Business Development manager,1996-08,1998-11,INACTIVE,319
Xerox,https://www.linkedin.com/company/international-paper,Intenational Product Manager,1994-11,1996-08,INACTIVE,319
Xerox,https://www.linkedin.com/company/international-paper,Export area manager,1990-12,1994-10,INACTIVE,319
Eberhard AG,https://www.linkedin.com/company/eberhard-ag,Vorstand / CEO bei Eberhard AG,2021-01,,ACTIVE,320
Eberhard AG,https://www.linkedin.com/company/eberhard-ag,Vorstand / COO,2019-11,2021-01,INACTIVE,320
Eberhard AG,https://www.linkedin.com/company/eberhard-ag,Prokurist,2017-11,2019-10,INACTIVE,320
Eberhard AG,https://www.linkedin.com/company/eberhard-ag,Technischer Leiter,2016-05,2019-10,INACTIVE,320
Eberhard AG,https://www.linkedin.com/company/eberhard-ag,Leiter Arbeitsvorbereitung/Einkauf,2011-04,2016-04,INACTIVE,320
Eberhard s.r.o.,,Geschäftsführer,2013-10,,ACTIVE,320
CeramTec – Die Keramik-Experten,https://www.linkedin.com/company/ceramtec-the-ceramic-experts,Leiter Arbeitsvorbereitung/Einkauf,2005-09,2011-03,INACTIVE,320
Neff Antriebstechnik und Automations GmbH,,Leiter Arbeitsvorbereitung,2001-06,2005-08,INACTIVE,320
Muhsau Kindl Ingenieurgesellschaft mbH,,Projektingenieur,2022-10,,ACTIVE,321
LEONHARD WEISS GmbH & Co. KG,https://www.linkedin.com/company/leonhard-weiss-gmbh-&-co-kg,Bau- und Projektleitung,2021-02,2021-03,INACTIVE,321
LEONHARD WEISS GmbH & Co. KG,https://www.linkedin.com/company/leonhard-weiss-gmbh-&-co-kg,Bau- und Projektleitung,2020-09,2021-01,INACTIVE,321
MDW Capital Partners LLP,https://www.linkedin.com/company/mdw-capital-partners,Managing Partner,2018-08,,ACTIVE,322
EA-RS Group Ltd,https://www.linkedin.com/company/earsgroup,Chairman,2021-01,,ACTIVE,322
GainX,https://www.linkedin.com/company/gainx,NED,2020-09,,ACTIVE,322
Down's South London,,Trustee and Vice Chair,2007-09,,ACTIVE,322
Mecsia,https://www.linkedin.com/company/mecsia,Chairman,2021-06,2024-05,INACTIVE,322
MiChild Group,,Chairman,2019-09,2021-08,INACTIVE,322
EAT.,https://www.linkedin.com/company/eat-ltd,Chairman,2018-05,2019-07,INACTIVE,322
EAT.,https://www.linkedin.com/company/eat-ltd,Non Executive Director,2018-01,2018-05,INACTIVE,322
Carewatch Care Services Ltd,https://www.linkedin.com/company/carewatchuk,Non Executive Director,2015-12,2018-09,INACTIVE,322
Lyceum Capital,https://www.linkedin.com/company/lyceum-capital,Partner,1999-07,2018-07,INACTIVE,322
Sequence Care Group,,Non Executive Director,2014-03,2016-12,INACTIVE,322
Synexus,https://www.linkedin.com/company/accelerated-enrollment-solutions,Non Executive Director,2011-03,2015-03,INACTIVE,322
Coperion,,Board Member,2003-03,2007-06,INACTIVE,322
Asquith Day Nurseries & Pre-schools,,Non Executive Director,2001-05,2007-06,INACTIVE,322
LEASEDRIVE VELO HOLDINGS LIMITED,,Non Executive Director,2003-05,2005-02,INACTIVE,322
Asquith Court Schools Ltd.,,Non Executive Director,2001-05,2004-12,INACTIVE,322
Clinovia,,Non Executive Director,2003-08,2004-02,INACTIVE,322
PricewaterhouseCoopers,https://www.linkedin.com/company/pwc,Manager,1994,1999,INACTIVE,322
GfA-DICHTUNGEN GMBH,https://www.linkedin.com/company/gfa-dichtungen-gmbh,Geschäftsführender Gesellschafter,1989-08,,ACTIVE,323
KEONYS,https://www.linkedin.com/company/keonys,SVP 3DS-Solutions CENIT Group,2021-03,,ACTIVE,324
KEONYS,https://www.linkedin.com/company/keonys,"COO, Keonys Group",2017-07,,ACTIVE,324
CenProCS AIRliance,,Steering Board Member,2007-10,2021-03,INACTIVE,324
CENIT,https://www.linkedin.com/company/cenit,General Manager,2007-09,2021-03,INACTIVE,324
CENIT France,,"Director, AIRBUS ww Business Unit",2007-09,2021-03,INACTIVE,324
Dassault Systèmes,,"Director, Sales Europe, ENOVIA MatrixONE",2006-12,2007-09,INACTIVE,324
Dassault Systemes,https://www.linkedin.com/company/dassaultsystemes,"Director, Channel, Germany, Switzerland, Austria",2005,2006,INACTIVE,324
Dassault Systèmes,,"Director, Center of Competence, ENOVIA Smarteam",2002-01,2004-12,INACTIVE,324
Dassault Systèmes,,"Director, Center of Competence, PLM Solutions for Consumer Goods & Electronic Industry",2000-01,2001-12,INACTIVE,324
Dassault Systèmes,,"Manager R&D, Digital Manufacturing Strategy",1999-01,2001-12,INACTIVE,324
Dassault Systèmes,,"Manager R&D, Manufacturing - NC Software",1997-04,1998-12,INACTIVE,324
CENIT GmbH,,Vertriebsleiter Manufacturing,1993,1998,INACTIVE,324
MSL,https://www.linkedin.com/company/msl,Consultant,1991,1993,INACTIVE,324
Venus Concept,https://www.linkedin.com/company/venus-concept,Senior Vice President APAC,2017-08,,ACTIVE,325
"Ulthera, Inc",,Zone Director Asia Pacific,2009-05,2015-05,INACTIVE,325
"Solta Medical, Inc.",https://www.linkedin.com/company/soltamedical,Sales Director Asia Pacific,2004-07,2009-05,INACTIVE,325
Thermage Inc.,,Regional Director,2004,2009,INACTIVE,325
Cutera,https://www.linkedin.com/company/cuterainc,Regional Manager,2001,2003,INACTIVE,325
Hotel & Restaurant Hessischer Hof,https://www.linkedin.com/company/hotel-&-restaurant-hessischer-hof,"Service Assistant, Customer Experience and Review Management",2024-07,2024-09,INACTIVE,326
Generali Deutschland AG,https://www.linkedin.com/company/generali-deutschland-ag,"Intern, Insurance and Data Analytics",2023-09,2023-09,INACTIVE,326
Planet-A-Mor,https://www.linkedin.com/company/planetamor,CEO Co-owner,2023-02,,ACTIVE,327
Planet-A-Mor,https://www.linkedin.com/company/planetamor,CEO and Co-Owner,2020-03,2023-03,INACTIVE,327
CCC Climate Change Consulting,,Company Owner,2018,,ACTIVE,327
CCC. Climate Change Consulting,,COO,2017-12,,ACTIVE,327
C.C.C. Climate Change Consulting LLC,,Consultant CEO and owner,2016-01,,ACTIVE,327
CROSSNET distribution Denmark,,Co-Owner,2021-03,2023-04,INACTIVE,327
Københavns Kommune,https://www.linkedin.com/company/kobenhavns-kommune,chefkonsulent,2023-01,2023-03,INACTIVE,327
Københavns Kommune,https://www.linkedin.com/company/kobenhavns-kommune,Anlægsprojektleder project manager,2020-10,2022-12,INACTIVE,327
CPH beach volleyball,,President Of The Board Of Directors,2012,2022-05,INACTIVE,327
www.Servicehuset.dk,https://www.linkedin.com/company/ncc,Strategiforretningsudvikling,2019-05,2020-10,INACTIVE,327
www.Servicehuset.dk,https://www.linkedin.com/company/ncc,Business Consulting,2019-05,2020-10,INACTIVE,327
NCC,https://www.linkedin.com/company/ncc,Senior chief Project Manager,2018-05,2018-11,INACTIVE,327
Rudersdals kommune,https://www.linkedin.com/company/rudersdal-kommune,Project Manager,2009,2016,INACTIVE,327
Rudersdals kommune,https://www.linkedin.com/company/rudersdal-kommune,Project Manager/ Entreprise leder,2009-03,2015-05,INACTIVE,327
Flintstone Paver Installations,https://www.linkedin.com/company/flintstone-paver-installations,COO Operations Manager,2007-04,2009-03,INACTIVE,327
NCC,https://www.linkedin.com/company/ncc,Chief Project Manager,2003,2007,INACTIVE,327
ISS A/S,https://www.linkedin.com/company/iss-facility-services-a-s,Project Manager,2000,2003,INACTIVE,327
Flintstone Paver Installations,https://www.linkedin.com/company/flintstone-paver-installations,CEO,1986-03,2000-04,INACTIVE,327
Flintstone Paver Installations,https://www.linkedin.com/company/flintstone-paver-installations,Ceo And Founder,1995,2000,INACTIVE,327
Danish Army,,Corporal,1981-02,1993-11,INACTIVE,327
Accenture,https://www.linkedin.com/company/accenture,Business Strategy Consultant,2022-06,,ACTIVE,328
Accenture,https://www.linkedin.com/company/accenture,Business Strategy Analyst,2021-08,2022-05,INACTIVE,328
Technische Universität München,,PhD Student Organic Chemistry (Prof. Dr. Bach),2017-07,2020-11,INACTIVE,328
Clariant,https://www.linkedin.com/company/clariant,Research Intern,2015-08,2015-10,INACTIVE,328
UTILITY PARTNERS Operations,https://www.linkedin.com/company/up-operations-gmbh,Managing Director,2024-01,,ACTIVE,329
UTILITY PARTNERS GmbH,https://www.linkedin.com/company/utility-partners,Member of The Supervisory Board,2024,,ACTIVE,329
Canny Innovation,https://www.linkedin.com/company/canny-innovation,Co-Founder / Managing Director - EXIT 2023,2019-04,2023-02,INACTIVE,329
UTILITY PARTNERS GmbH,https://www.linkedin.com/company/utility-partners,Partner,2016,2023,INACTIVE,329
UTILITY PARTNERS GmbH,https://www.linkedin.com/company/utility-partners,Senior Lead Consultant,2012,2016,INACTIVE,329
UTILITY PARTNERS GmbH,https://www.linkedin.com/company/utility-partners,Consultant,2009,2012,INACTIVE,329
Global Smart Trade,,Co-Founder - Managing Director - EXIT 2013,2011,2013,INACTIVE,329
Energie Südbayern GmbH,https://www.linkedin.com/company/energie-suedbayern,Trainee & Regulierungsspezialist,2007,2009,INACTIVE,329
Tahoe Donner Association,https://www.linkedin.com/company/tahoe-donner-association,Recreation Manager,2024-11,,ACTIVE,330
Tahoe Donner Association,https://www.linkedin.com/company/tahoe-donner-association,Instructor,2023-02,,ACTIVE,330
Tahoe Donner Association,https://www.linkedin.com/company/tahoe-donner-association,Assistant Recreation Center Manager,2023-04,2025-03,INACTIVE,330
Heikoach.com,,Sportsience and Personaltrainer,2012-10,,ACTIVE,330
Tahoe Donner Association,https://www.linkedin.com/company/tahoe-donner-association,Bartender,2022-05,2022-09,INACTIVE,330
SAP,https://www.linkedin.com/company/sap,Project Manager,2020-04,2021-06,INACTIVE,330
Refugee Dormitory,,Project Manager / Team Leader,2016-01,2017-04,INACTIVE,330
Base Training,https://www.linkedin.com/company/base-training,Fitness Manager,2015-01,2016-12,INACTIVE,330
BäderBetriebe Frankfurt GmbH,https://www.linkedin.com/company/bäderbetriebe-frankfurt-gmbh,Customer Relations Manager,2012-07,2016-03,INACTIVE,330
T-Hall Climbinghall,,Climbing Instructor,2013,2016,INACTIVE,330
Divers Rec Center's,,Lifeguard,2009-02,2011-08,INACTIVE,330
H&M,https://www.linkedin.com/company/h&m,Retail Sales Specialist,2005-10,2008-12,INACTIVE,330
Fair Recycling Foundation,https://www.linkedin.com/company/fairrecycling,Stiftungsrat,2021-05,,ACTIVE,331
LCG - Larsson Creative Group,https://www.linkedin.com/company/lcg-larsson-creative-group,Verwaltungsrat,2020-12,2024-09,INACTIVE,331
Switzerland Innovation,https://www.linkedin.com/company/switzerland-innovation,Stiftungsrat,2021-05,2023-10,INACTIVE,331
Metall Zug AG,https://www.linkedin.com/company/metall-zug-ag,Head of Strategic Projects,2019-09,2023-08,INACTIVE,331
FUTURE SOCIETY ASSOCIATION,https://www.linkedin.com/company/future-society-association,Vorstandsmitglied,2022-01,2023-04,INACTIVE,331
SENS eRecycling,https://www.linkedin.com/company/sens-erecycling,Präsident des Stiftungsrats,2021-04,2021-10,INACTIVE,331
Tech Cluster Zug AG,https://www.linkedin.com/company/tech-cluster-zug-ag,Verwaltungsrat,2019-12,2021-06,INACTIVE,331
GEHRIG GROUP AG,https://www.linkedin.com/company/gehrig-group-ag,Präsident des Verwaltungsrats,2019-08,2021-06,INACTIVE,331
V-ZUG AG,https://www.linkedin.com/company/v-zug,CEO,2013-09,2019-08,INACTIVE,331
BSH Bosch and Siemens Home Appliances Group,https://www.linkedin.com/company/bsh-home-appliances-group,"Senior Vice President Sales and Marketing / Asia - Pacific, India",2009-01,2013-06,INACTIVE,331
BSH Bosch and Siemens Home Appliances Group,https://www.linkedin.com/company/bsh-home-appliances-group,Senior Vice President Sales and Marketing,2004-04,2008-12,INACTIVE,331
BSH Bosch and Siemens Home Appliances Group,https://www.linkedin.com/company/bsh-home-appliances-group,"Vice President Marketing, Cooking Division",2001-07,2004-03,INACTIVE,331
BSH Bosch and Siemens Home Appliances Group,https://www.linkedin.com/company/bsh-home-appliances-group,Director Product Management,1999-07,2001-06,INACTIVE,331
BSH Bosch and Siemens Home Appliances Group,https://www.linkedin.com/company/bsh-home-appliances-group,Managing Director,1996-01,1999-06,INACTIVE,331
BSH Bosch and Siemens Home Appliances Group,https://www.linkedin.com/company/bsh-home-appliances-group,Vice Director Marketing & Business development,1995-01,1995-12,INACTIVE,331
BSH Bosch and Siemens Home Appliances Group,https://www.linkedin.com/company/bsh-home-appliances-group,"Executive Project Manager, Service division",1993-07,1994-12,INACTIVE,331
German Armed Forces,https://www.linkedin.com/company/german-armed-forces,Officer,1981-07,1993-06,INACTIVE,331
Eiffage Infra-Ost GmbH,https://www.linkedin.com/company/eiffage-infra-ost-gmbh,Leiter Kalkulation,,,UNKNOWN,332
Sirkadiyen Sağlıklı Yaşam Merkezi,,Psikolog,2021-07,2022-09,INACTIVE,333
Bakırköy Adalet Sarayı,,Stajyer,2021-03,2021-06,INACTIVE,333
Sto SE & Co. KGaA,https://www.linkedin.com/company/sto-ag,Projektplaner,2015-09,,ACTIVE,334
ibs Schweizer,,Dipl.-Ing. (FH) Architekt,2013-01,2015-08,INACTIVE,334
Hauptvogel + Schütt,,Dipl.-Ing. (FH) Architekt,2012-07,2013-01,INACTIVE,334
KBK Architekten,https://www.linkedin.com/company/kbk-architekten,Dipl.-Ing. (FH) Architekt,2005,2012,INACTIVE,334
KBK Architekten,https://www.linkedin.com/company/kbk-architekten,Praktikant im Architekturbereich,2002,2005,INACTIVE,334
MorganFranklin Consulting,https://www.linkedin.com/company/morganfranklin-consulting,Senior Manager,2023-01,,ACTIVE,335
MorganFranklin Consulting,https://www.linkedin.com/company/morganfranklin-consulting,Manager,2021-08,2023-01,INACTIVE,335
